ID,Sp40,Sp50,Sp60,Sp70,Av.Sp,Ov.Lim,Flow,Total
1,0,0,0,0,36.6,88,3.733,2
2,1,0,0,0,34.6,10.8,13.448,6
3,0,0,0,0,20.6,4,16.625,23
4,0,0,0,0,34,74.1,10.379,7
5,0,0,0,0,37.2,90.5,10.949,2
6,0,1,0,0,46.8,23.7,22.663,8
7,0,0,0,0,30.6,45.9,9.763,2
8,0,0,0,0,27.3,17.4,8.8,0
9,0,0,0,1,36.9,0.2,15.851,2
10,0,0,1,0,37.4,0,8.662,0
11,0,0,0,0,31.1,50.9,21.036,4
12,0,0,0,0,19,2.8,4.5,24
13,0,0,0,1,45.3,0.3,13.484,3
14,0,0,0,1,37.8,0,15.947,3
15,0,0,0,0,30.2,41.9,19.408,6
16,0,0,0,1,57.3,7.7,37.144,5
17,0,0,0,0,29.8,39.2,1.78,0
18,0,0,0,0,30.5,46.4,7.66,1
19,0,0,0,0,28.3,24.9,11.652,5
20,0,0,0,0,29.4,33.9,9.745,9
21,0,0,0,0,33.8,69.9,9.307,1
22,0,0,0,0,27.9,24.1,6.764,2
23,0,0,0,0,29.4,32.7,9.082,5
24,0,0,0,0,28.4,23.6,5.804,5
25,0,0,0,0,27.9,21.6,8.167,8
26,0,0,0,0,34.9,80.8,6.279,4
27,0,0,0,0,32,56.9,8.811,5
28,1,0,0,0,36.7,19.7,12.347,3
29,0,0,0,0,33.9,75.9,14.158,4
30,1,0,0,0,36.6,18.1,12.598,11
31,0,0,0,0,29.2,30.5,6.251,1
32,0,0,0,0,31.2,53.9,2.327,2
33,0,0,0,0,31.3,53.8,1.874,2
34,0,0,0,0,33.8,47.2,2.632,0
35,0,0,0,0,25,19.7,2.268,1
36,0,0,1,0,46.6,3.7,8.427,2
37,0,0,1,0,39.6,0.3,10.976,3
38,0,0,0,0,23.4,6.1,11.293,3
39,0,0,1,0,37.2,0.1,7.496,4
40,0,0,0,0,31,48,5.416,7
41,1,0,0,0,30.8,6.4,21.741,16
42,0,0,0,0,32.4,58.9,6.807,2
43,0,0,0,0,30,43.9,2.25,0
44,0,0,0,0,29,34.1,20.105,0
45,0,0,0,0,21.6,5.5,8.454,3
46,0,0,0,0,37.1,81.8,1.517,0
47,0,0,1,0,43.8,1.1,8.384,10
48,0,0,0,0,35.8,81.1,2.915,1
49,0,0,0,0,28.9,38.7,1.838,3
50,0,0,1,0,40.6,0.2,0.886,7
51,0,0,1,0,40.7,0.6,6.066,7
52,0,0,0,0,36.5,82.6,1.888,2
53,0,0,0,0,36.4,81.1,1.985,0
54,0,0,0,0,38,88.6,5.386,1
55,0,0,0,0,32.2,60.5,18.333,3
56,0,0,0,0,29.2,32.1,4.777,8
57,0,0,0,0,35.6,86.4,7.06,5
58,0,0,0,0,26,20.2,6.348,0
59,0,0,0,0,33.6,69.8,3.301,0
60,0,0,0,0,35.6,78.3,7.219,1
61,0,0,0,0,18.4,1.7,12.082,11
62,0,0,1,0,29.5,1.1,7.805,8
63,0,0,0,0,18.3,0.6,5.847,9
64,0,0,0,0,32.5,46.5,13.011,2
65,0,0,0,0,31.4,55.7,1.283,0
66,0,0,0,0,30.6,45.7,13.001,2
67,0,0,1,0,42.9,1.6,5.911,1
