ID,Sp40,Sp50,Sp60,Sp70,Av.Sp,Ov.Lim,Flow,Before,After
1,0,0,1,0,55,20,8.538,20,0
2,0,0,1,0,51,9,2.614,4,0
3,0,0,1,0,60,31,2.967,9,5
4,0,0,1,0,38,1,3.631,3,0
5,0,0,0,1,57,7,7.619,17,8
6,0,0,1,0,55,20,5.109,1,1
7,0,0,0,1,65,57,13.236,3,1
8,0,0,0,0,32,63,2.623,4,0
9,0,0,0,0,28,19,12.5,7,6
10,0,0,0,0,41,45,5.7,6,9
11,0,0,0,0,31,44,8.4,8,4
12,0,0,0,0,35,76,6.2,5,2
13,0,0,0,1,62,19,16.5,12,2
14,0,0,0,0,38,22,17.2,3,1
15,0,0,1,0,48,8,9.4,4,5
16,0,0,0,0,42,46,20.646,8,3
17,0,0,0,0,30,45,8.377,6,8
18,1,0,0,0,39,32,5.695,11,10
19,0,0,0,0,35,84,5.234,21,13
20,0,0,1,0,44,31,3.616,1,2
21,1,0,0,0,40,36,4.169,3,6
22,1,0,0,0,35,12,3.377,4,2
23,0,0,0,0,32,55,8.357,11,7
24,0,0,0,0,31,40,5.57,5,2
25,0,0,0,0,29,42,15.022,8,6
26,0,0,0,0,32,71,5.879,9,10
27,0,0,0,0,33,71,3.159,7,8
28,1,0,0,0,42,49,3.357,3,9
29,0,0,0,0,33,66,3.422,16,4
30,0,0,0,0,30,45,6.782,8,4
31,0,0,0,0,29,40,3.26,4,3
32,0,0,0,0,32,56,4.058,4,2
33,0,0,0,0,30,44,8.587,28,16
34,0,0,0,0,28,28,1.809,13,10
35,0,0,0,0,27,22,4.644,2,7
36,0,0,0,0,28,26,5.904,15,14
37,0,0,0,0,35,76,2.674,1,3
38,0,0,0,0,32,50,5.923,4,3
39,0,0,1,0,56,19,7.088,7,2
40,0,0,0,0,30,48,8.9635,8,4
41,0,0,0,0,34,35,4.492,7,5
42,0,0,0,0,29,35,4.492,5,4
43,0,0,0,0,23,10,4.364,6,7
44,1,0,0,0,35,12,4.38,7,7
45,0,0,0,0,31,63,3.645,2,5
46,0,0,0,0,31,45,10.099,8,5
47,1,0,0,0,35,10,11.875,16,5
48,0,0,0,0,30,39,7.035,7,4
49,0,0,0,0,32,56,8.255,11,3
50,0,0,0,0,38,95,7.465,8,3
51,1,0,0,0,34,11,8.051,11,16
52,0,0,0,0,30,34,2.876,4,4
53,0,0,0,0,29,29,10.22,5,4
54,0,0,0,0,30,39,7.846,12,14
55,0,0,0,0,29,12,3.614,7,9
56,0,0,0,0,31,53,11.139,7,1
